"cveID","dateAdded","dueDate","Remediation_Days","cvss_score","Severity"
"CVE-2024-38014",2024-09-10,2024-10-01,21,7.8,"High"
"CVE-2024-38226",2024-09-10,2024-10-01,21,7.3,"High"
"CVE-2024-40766",2024-09-09,2024-09-30,21,9.8,"Critical"
"CVE-2024-7262",2024-09-03,2024-09-24,21,7.8,"High"
"CVE-2024-7965",2024-08-28,2024-09-18,21,8.8,"High"
"CVE-2024-38856",2024-08-27,2024-09-17,21,9.8,"Critical"
"CVE-2024-7971",2024-08-26,2024-09-16,21,9.6,"Critical"
"CVE-2024-39717",2024-08-23,2024-09-13,21,7.2,"High"
"CVE-2024-23897",2024-08-19,2024-09-09,21,9.8,"Critical"
"CVE-2024-28986",2024-08-15,2024-09-05,21,9.8,"Critical"
"CVE-2024-38107",2024-08-13,2024-09-03,21,7.8,"High"
"CVE-2024-38106",2024-08-13,2024-09-03,21,7,"High"
"CVE-2024-38193",2024-08-13,2024-09-03,21,7.8,"High"
"CVE-2024-38213",2024-08-13,2024-09-03,21,6.5,"Medium"
"CVE-2024-38178",2024-08-13,2024-09-03,21,7.5,"High"
"CVE-2024-38189",2024-08-13,2024-09-03,21,8.8,"High"
"CVE-2024-32113",2024-08-07,2024-08-28,21,9.8,"Critical"
"CVE-2024-36971",2024-08-07,2024-08-28,21,7.8,"High"
"CVE-2024-37085",2024-07-30,2024-08-20,21,7.2,"High"
"CVE-2024-5217",2024-07-29,2024-08-19,21,9.8,"Critical"
"CVE-2024-4879",2024-07-29,2024-08-19,21,9.8,"Critical"
"CVE-2024-39891",2024-07-23,2024-08-13,21,5.3,"Medium"
"CVE-2024-28995",2024-07-17,2024-08-07,21,7.5,"High"
"CVE-2024-34102",2024-07-17,2024-08-07,21,9.8,"Critical"
"CVE-2024-36401",2024-07-15,2024-08-05,21,9.8,"Critical"
"CVE-2024-23692",2024-07-09,2024-07-30,21,9.8,"Critical"
"CVE-2024-38080",2024-07-09,2024-07-30,21,7.8,"High"
"CVE-2024-38112",2024-07-09,2024-07-30,21,7.5,"High"
"CVE-2024-20399",2024-07-02,2024-07-23,21,6.7,"Medium"
"CVE-2024-4358",2024-06-13,2024-07-04,21,9.8,"Critical"
"CVE-2024-26169",2024-06-13,2024-07-04,21,7.8,"High"
"CVE-2024-32896",2024-06-13,2024-07-04,21,7.8,"High"
"CVE-2024-4577",2024-06-12,2024-07-03,21,9.8,"Critical"
"CVE-2024-4610",2024-06-12,2024-07-03,21,7.8,"High"
"CVE-2024-1086",2024-05-30,2024-06-20,21,7.8,"High"
"CVE-2024-24919",2024-05-30,2024-06-20,21,8.6,"High"
"CVE-2024-4978",2024-05-29,2024-06-19,21,8.4,"High"
"CVE-2024-5274",2024-05-28,2024-06-18,21,9.6,"Critical"
"CVE-2024-4947",2024-05-20,2024-06-10,21,9.6,"Critical"
"CVE-2024-4761",2024-05-16,2024-06-06,21,8.8,"High"
"CVE-2024-30040",2024-05-14,2024-06-04,21,8.8,"High"
"CVE-2024-30051",2024-05-14,2024-06-04,21,7.8,"High"
"CVE-2024-4671",2024-05-13,2024-06-03,21,9.6,"Critical"
"CVE-2024-29988",2024-04-30,2024-05-21,21,8.8,"High"
"CVE-2024-4040",2024-04-24,2024-05-01,7,10,"Critical"
"CVE-2024-20359",2024-04-24,2024-05-01,7,6,"Medium"
"CVE-2024-20353",2024-04-24,2024-05-01,7,8.6,"High"
"CVE-2024-3400",2024-04-12,2024-04-19,7,10,"Critical"
"CVE-2024-3273",2024-04-11,2024-05-02,21,9.8,"Critical"
"CVE-2024-3272",2024-04-11,2024-05-02,21,9.8,"Critical"
"CVE-2024-29748",2024-04-04,2024-04-25,21,7.8,"High"
"CVE-2024-29745",2024-04-04,2024-04-25,21,5.5,"Medium"
"CVE-2024-27198",2024-03-07,2024-03-28,21,9.8,"Critical"
"CVE-2024-23225",2024-03-06,2024-03-27,21,7.8,"High"
"CVE-2024-23296",2024-03-06,2024-03-27,21,7.8,"High"
"CVE-2024-21338",2024-03-04,2024-03-25,21,7.8,"High"
"CVE-2024-1709",2024-02-22,2024-02-29,7,10,"Critical"
"CVE-2024-21410",2024-02-15,2024-03-07,21,9.8,"Critical"
"CVE-2024-21412",2024-02-13,2024-03-05,21,8.1,"High"
"CVE-2024-21351",2024-02-13,2024-03-05,21,7.6,"High"
"CVE-2024-21762",2024-02-09,2024-02-16,7,9.8,"Critical"
"CVE-2024-21893",2024-01-31,2024-02-02,2,8.2,"High"
"CVE-2024-23222",2024-01-23,2024-02-13,21,8.8,"High"
"CVE-2024-0519",2024-01-17,2024-02-07,21,8.8,"High"
"CVE-2024-21887",2024-01-10,2024-01-22,12,9.1,"Critical"
